Scene number,Start,End,Keywords,Description
10,00:02:32.240,00:02:38.560,"đồng bằng Nam Bộ,Tây Nam Bộ,lịch sử dân tộc","Nào đâu Bạc Liêu là xứ cơ cầu dưới sông, cá chốt trên bờ Triều Châu."
11,00:02:38.560,00:02:47.160,"đồng bằng Nam Bộ,Tây Nam Bộ,lịch sử dân tộc,nông dân,làm ruộng","từ một vùng đất bị bỏ quên suốt nhiều thế kỷ đến quan du rừng rậm thống bày, chỉ hơn 3 thế kỷ về tay người Việt Nam, mảnh đất Nam Bộ nói chung và Tây Nam Bộ nói riêng đã trở thành chốn dân cư đông đúc, trù phú, yên vui."
12,00:02:47.160,00:02:55.720,"đồng bằng Nam Bộ,Tây Nam Bộ,lịch sử dân tộc,nông dân,làm ruộng","từ một vùng đất bị bỏ quên suốt nhiều thế kỷ đến quan du rừng rậm thống bày, chỉ hơn 3 thế kỷ về tay người Việt Nam, mảnh đất Nam Bộ nói chung và Tây Nam Bộ nói riêng đã trở thành chốn dân cư đông đúc, trù phú, yên vui."
13,00:02:55.720,00:03:06.680,"đồng bằng Nam Bộ,Tây Nam Bộ,lịch sử dân tộc,nông dân,làm ruộng","từ một vùng đất bị bỏ quên suốt nhiều thế kỷ đến quan du rừng rậm thống bày, chỉ hơn 3 thế kỷ về tay người Việt Nam, mảnh đất Nam Bộ nói chung và Tây Nam Bộ nói riêng đã trở thành chốn dân cư đông đúc, trù phú, yên vui."
14,00:03:06.680,00:03:15.920,"đồng bằng Nam Bộ,Tây Nam Bộ,lịch sử dân tộc,nông dân,làm ruộng","cũng vì lẽ đó, ký ức một thời khẩn quan mở đất đã ăn sâu vào máu thịt của người dân, đồng bào, mà những ký ức đó khi được lật lại sẽ mở ra cả một thế giới đầy hấp dẫn, hào hùng, phóng quán nhưng cũng không kém phần khắc nghiệt, dữ dội trong cuộc vật lộn trên Cục Thiên nhiên Tây Nam Bộ của người Việt Nam."
15,00:03:15.920,00:03:26.720,"đồng bằng Nam Bộ,Tây Nam Bộ,lịch sử dân tộc,nông dân,làm ruộng","cũng vì lẽ đó, ký ức một thời khẩn quan mở đất đã ăn sâu vào máu thịt của người dân, đồng bào, mà những ký ức đó khi được lật lại sẽ mở ra cả một thế giới đầy hấp dẫn, hào hùng, phóng quán nhưng cũng không kém phần khắc nghiệt, dữ dội trong cuộc vật lộn trên Cục Thiên nhiên Tây Nam Bộ của người Việt Nam."
16,00:03:26.720,00:03:42.400,"đồng bằng Nam Bộ,Tây Nam Bộ,lịch sử dân tộc,nông dân,làm ruộng","các sử gia cho rằng những lưu dân người Việt khăn gói đến khai phá vùng đất phương Nam phần lớn có gốc tích từ khu vực Trung và Nam Trung Bộ, đặc biệt là vùng Thuận Quản."
17,00:03:42.400,00:03:48.880,"khai phá vùng đất phương Nam,tình hình chính trị xã hội,lưu dân Việt,Nam Trung Bộ","các sử gia cho rằng những lưu dân người Việt khăn gói đến khai phá vùng đất phương Nam phần lớn có gốc tích từ khu vực Trung và Nam Trung Bộ, đặc biệt là vùng Thuận Quản."
18,00:03:48.880,00:03:55.840,"khai phá vùng đất phương Nam,tình hình chính trị xã hội,lưu dân Việt,Nam Trung Bộ","các sử gia cho rằng những lưu dân người Việt khăn gói đến khai phá vùng đất phương Nam phần lớn có gốc tích từ khu vực Trung và Nam Trung Bộ, đặc biệt là vùng Thuận Quản."
19,00:03:55.840,00:04:01.800,"khai phá vùng đất phương Nam,tình hình chính trị xã hội,lưu dân Việt,Nam Trung Bộ","các sử gia cho rằng những lưu dân người Việt khăn gói đến khai phá vùng đất phương Nam phần lớn có gốc tích từ khu vực Trung và Nam Trung Bộ, đặc biệt là vùng Thuận Quản."
20,00:04:01.800,00:04:09.560,"khai phá vùng đất phương Nam,tình hình chính trị xã hội,lưu dân Việt,Nam Trung Bộ","các sử gia cho rằng những lưu dân người Việt khăn gói đến khai phá vùng đất phương Nam phần lớn có gốc tích từ khu vực Trung và Nam Trung Bộ, đặc biệt là vùng Thuận Quản."
21,00:04:09.560,00:04:16.480,"khai phá vùng đất phương Nam,tình hình chính trị xã hội,lưu dân Việt,Nam Trung Bộ","các sử gia cho rằng những lưu dân người Việt khăn gói đến khai phá vùng đất phương Nam phần lớn có gốc tích từ khu vực Trung và Nam Trung Bộ, đặc biệt là vùng Thuận Quản."
22,00:04:16.480,00:04:24.480,"khai phá vùng đất phương Nam,tình hình chính trị xã hội,lưu dân Việt,Nam Trung Bộ","các sử gia cho rằng những lưu dân người Việt khăn gói đến khai phá vùng đất phương Nam phần lớn có gốc tích từ khu vực Trung và Nam Trung Bộ, đặc biệt là vùng Thuận Quản."
23,00:04:24.480,00:04:31.600,"khai phá vùng đất phương Nam,tình hình chính trị xã hội,lưu dân Việt,Nam Trung Bộ","các sử gia cho rằng những lưu dân người Việt khăn gói đến khai phá vùng đất phương Nam phần lớn có gốc tích từ khu vực Trung và Nam Trung Bộ, đặc biệt là vùng Thuận Quản."
24,00:04:31.600,00:04:40.120,"khai phá vùng đất phương Nam,tình hình chính trị xã hội,lưu dân Việt,Nam Trung Bộ","Nói như nhà văn Nguyễn Văn Bổng, đất nước ta càng về phương Nam càng là đất mới, đất lưu đầy, đất của những người không có quyền sống trên những mảnh đất đã được khai phá đến."
25,00:04:40.120,00:04:45.920,"khai phá vùng đất phương Nam,tình hình chính trị xã hội,lưu dân Việt,Nam Trung Bộ","Nói như nhà văn Nguyễn Văn Bổng, đất nước ta càng về phương Nam càng là đất mới, đất lưu đầy, đất của những người không có quyền sống trên những mảnh đất đã được khai phá đến."
26,00:04:45.920,00:04:52.720,"khai phá vùng đất phương Nam,tình hình chính trị xã hội,lưu dân Việt,Nam Trung Bộ","Nói như nhà văn Nguyễn Văn Bổng, đất nước ta càng về phương Nam càng là đất mới, đất lưu đầy, đất của những người không có quyền sống trên những mảnh đất đã được khai phá đến."
27,00:04:52.720,00:05:05.680,"khai phá vùng đất phương Nam,tình hình chính trị xã hội,lưu dân Việt,Nam Trung Bộ","Nói như nhà văn Nguyễn Văn Bổng, đất nước ta càng về phương Nam càng là đất mới, đất lưu đầy, đất của những người không có quyền sống trên những mảnh đất đã được khai phá đến."
28,00:05:05.680,00:05:18.040,"khai phá vùng đất phương Nam,tình hình chính trị xã hội,lưu dân Việt,Nam Trung Bộ","Đây là sơn cùng thủy tận, là bến bờ Thái Bình Dương, Vĩnh Xiêm La mù mịt."
29,00:05:18.040,00:05:48.960,"tiến sĩ Lê Hữu Phước,phó hiệu trưởng đại học khoa học xã hội nhân văn TPHCM","nói về cái lưu dân từ miền Thuận Quản ở miền Nam thì người ta hay dùng một cái thuật ngữ là dân Tứ Chiến, ý muốn nói cái vùng đất này là nơi hội tụ của rất nhiều thành phần và người ta thường nói đến cái thành phần đầu tiên có mặt ở cái vùng đất phương Nam này chính là những nông dân nghèo, ít học, chán ghét cuộc chiến tranh của Trịnh Nguyễn và muốn đi tìm một cái vùng đất mới để sinh cơ lập nghiệp, tất cả họ đều là những cái người bị phá sản ở những cái dạng thức khác nhau."
30,00:05:48.960,00:06:30.960,"phó giáo sư tiến sĩ Trần Thị Mai,trưởng phòng sau đại học,đại học khoa học xã hội nhân văn TPHCM","nói về cái lưu dân từ miền Thuận Quản ở miền Nam thì người ta hay dùng một cái thuật ngữ là dân Tứ Chiến, ý muốn nói cái vùng đất này là nơi hội tụ của rất nhiều thành phần và người ta thường nói đến cái thành phần đầu tiên có mặt ở cái vùng đất phương Nam này chính là những nông dân nghèo, ít học, chán ghét cuộc chiến tranh của Trịnh Nguyễn và muốn đi tìm một cái vùng đất mới để sinh cơ lập nghiệp, tất cả họ đều là những cái người bị phá sản ở những cái dạng thức khác nhau."
31,00:06:30.960,00:07:06.440,"khẩn hoang,lưu dân Việt,Miền Tây Nam Bộ,cánh đồng,kênh rạch,đàn cò","Và chính điều đó, nó tạo nên cái tính cách người Nam Bộ ngay từ buổi đầu."
32,00:07:06.440,00:07:11.680,"khẩn hoang,lưu dân Việt,Miền Tây Nam Bộ,cánh đồng,kênh rạch,đàn cò","Miền Tây Nam Bộ, trong khi những lưu dân người Việt buổi đầu đi Khẩn Quang là một vùng át địa quyền bí và thâm u, nơi con người cảm thấy vô cùng nhỏ bé, lại chẳng có lấy một điểm tựa vật chất hay tinh thần nào giữa không gian mênh mông rộng lớn, tứ bề quạnh hiu, nơi cây cối quá thành cổ thụ giả thống, nhung nhúc nhởn nhơ nên ngang đi lại ở chốn không người."
33,00:07:11.680,00:07:16.880,"khẩn hoang,lưu dân Việt,Miền Tây Nam Bộ,cánh đồng,kênh rạch,đàn cò","có thể nói, lịch sử khai phá vùng đất Tây Nam Bộ được bắt đầu bằng chính những tháng ngày đối diện với thiên nhiên hoang sơ, dữ dằn này."
34,00:07:16.880,00:07:22.400,"khẩn hoang,lưu dân Việt,Miền Tây Nam Bộ,cánh đồng,kênh rạch,đàn cò","có thể nói, lịch sử khai phá vùng đất Tây Nam Bộ được bắt đầu bằng chính những tháng ngày đối diện với thiên nhiên hoang sơ, dữ dằn này."
35,00:07:22.400,00:07:30.560,"khẩn hoang,lưu dân Việt,Miền Tây Nam Bộ,cánh đồng,kênh rạch,đàn cò","có thể nói, lịch sử khai phá vùng đất Tây Nam Bộ được bắt đầu bằng chính những tháng ngày đối diện với thiên nhiên hoang sơ, dữ dằn này."
36,00:07:30.560,00:07:36.520,"khẩn hoang,lưu dân Việt,Miền Tây Nam Bộ,cánh đồng,kênh rạch,đàn cò","có thể nói, lịch sử khai phá vùng đất Tây Nam Bộ được bắt đầu bằng chính những tháng ngày đối diện với thiên nhiên hoang sơ, dữ dằn này."
37,00:07:36.520,00:07:43.320,"khẩn hoang,lưu dân Việt,Miền Tây Nam Bộ,cánh đồng,kênh rạch,đàn cò","có thể nói, lịch sử khai phá vùng đất Tây Nam Bộ được bắt đầu bằng chính những tháng ngày đối diện với thiên nhiên hoang sơ, dữ dằn này."
38,00:07:43.320,00:07:50.280,"khẩn hoang,lưu dân Việt,Miền Tây Nam Bộ,cánh đồng,kênh rạch,đàn cò","có thể nói, lịch sử khai phá vùng đất Tây Nam Bộ được bắt đầu bằng chính những tháng ngày đối diện với thiên nhiên hoang sơ, dữ dằn này."
39,00:07:50.280,00:07:57.240,"khẩn hoang,lưu dân Việt,Miền Tây Nam Bộ,cánh đồng,kênh rạch,đàn cò","có thể nói, lịch sử khai phá vùng đất Tây Nam Bộ được bắt đầu bằng chính những tháng ngày đối diện với thiên nhiên hoang sơ, dữ dằn này."
40,00:07:57.240,00:08:02.960,"khẩn hoang,lưu dân Việt,Miền Tây Nam Bộ,cánh đồng,kênh rạch,đàn cò","có thể nói, lịch sử khai phá vùng đất Tây Nam Bộ được bắt đầu bằng chính những tháng ngày đối diện với thiên nhiên hoang sơ, dữ dằn này."
41,00:08:02.960,00:08:09.840,"thiên nhiên hoang sơ,vùng đất Tây Nam Bộ","có thể nói, lịch sử khai phá vùng đất Tây Nam Bộ được bắt đầu bằng chính những tháng ngày đối diện với thiên nhiên hoang sơ, dữ dằn này."
42,00:08:09.840,00:08:16.920,"thiên nhiên hoang sơ,vùng đất Tây Nam Bộ","có thể nói, lịch sử khai phá vùng đất Tây Nam Bộ được bắt đầu bằng chính những tháng ngày đối diện với thiên nhiên hoang sơ, dữ dằn này."
43,00:08:16.920,00:08:22.440,"thiên nhiên hoang sơ,vùng đất Tây Nam Bộ","thống giữ Tây Nam Bộ thời mở đất có nhiều loại khác nhau, nhưng nổi bật nhất là xấu và cọp, hai loại tượng trưng cho sức mạnh hoang dã hiện diện dày đặc ở khắp mọi nơi và luôn đe dọa sinh mạng người đi khởi quan."
44,00:08:22.440,00:10:06.600,"ông Hổ,chuyện hai anh em Bảy Giao,thu phục cá sấu,giai thoại loài cá sấu","Vì lẽ đó, đuổi xấu đáng cọp đã trở thành những hoạt động thường xuyên của con người trên vùng đất mới và để lại dấu ấn sâu đậm trong tâm thức cộng đồng, dân gian còn lưu truyền ba câu chuyện thì thú như chuyện hai nhà sư Hồng Ân trí năng diệt cọp ở vùng gia đình, chuyện hai anh em Bảy Giao Chính Quyền Đã Nổ Trên Đất Còn Tàu Bến Tre Hay Giai Thoại Về Ổn Định Tay Thu Phục Cá Sấu Năm Chèo Giai Thoại Về Loài Cá Sấu Giữ Ở Cánh Vĩnh An Nhân Dân ký ức về Sáu Nạ Cọp một thời khẩn quan còn được lưu dấu qua rất nhiều truyền thuyết về địa danh như: Cù lao Ông Hổ ở An Giang, dòng Ông Hổ ở Bến Tre, Địa xấu ở Tiền Giang, Ấp Đầu xấu ở Bạc Liêu, vân vân."
45,00:10:06.600,00:10:27.960,"tiến sĩ Đinh Văn Hạnh,phân viện trưởng,phân viện văn hóa nghệ thuật quốc gia Việt Nam tại TPHCM",trước đây thì chúng ta cũng hay quan niệm và cho rằng là vùng đất Nam Bộ l
46,00:10:27.960,00:10:36.160,"phó giáo sư tiến sĩ Phan An,viện khoa học xã hội vùng Nam Bộ","Hoặc là cái vùng mà ở dưới ở dưới, Cần Giờ có một cái tổng là tổng ăn thịt."
47,00:10:36.160,00:10:41.640,cọp,"Hoặc là cái vùng mà ở dưới ở dưới, Cần Giờ có một cái tổng là tổng ăn thịt."
48,00:10:41.640,00:10:52.560,"phó giáo sư tiến sĩ Phan An,viện khoa học xã hội vùng Nam Bộ","Hoặc là cái vùng mà ở dưới ở dưới, Cần Giờ có một cái tổng là tổng ăn thịt."
49,00:10:52.560,00:11:09.400,"nhà nghiên cứu Trương Ngọc Tường,chi hội khoa học lịch sử TPHCM","Hoặc là cái vùng mà ở dưới ở dưới, Cần Giờ có một cái tổng là tổng ăn thịt."
50,00:11:09.400,00:11:20.240,"thế kỷ 18,khu vực khô ráo,cánh đồng,khai khẩn,đất hoang","Các nhà nghiên cứu đã chỉ ra rằng, buổi ban đầu, lưu dân người Việt lựa chọn những khu vực khô ráo, có bể nước ngọt để khai thác theo hình thức mốc lõm đầy sáng tạo, rồi từ từ mở rộng ra, nối liền những vùng đất đã khai phá đó lại với nhau thành một cánh đồng liền khánh trong Phố Biên."
51,00:11:20.240,00:11:26.960,"thế kỷ 18,khu vực khô ráo,cánh đồng,khai khẩn,đất hoang","Các nhà nghiên cứu đã chỉ ra rằng, buổi ban đầu, lưu dân người Việt lựa chọn những khu vực khô ráo, có bể nước ngọt để khai thác theo hình thức mốc lõm đầy sáng tạo, rồi từ từ mở rộng ra, nối liền những vùng đất đã khai phá đó lại với nhau thành một cánh đồng liền khánh trong Phố Biên."
52,00:11:26.960,00:11:32.560,"thế kỷ 18,khu vực khô ráo,cánh đồng,khai khẩn,đất hoang","Các nhà nghiên cứu đã chỉ ra rằng, buổi ban đầu, lưu dân người Việt lựa chọn những khu vực khô ráo, có bể nước ngọt để khai thác theo hình thức mốc lõm đầy sáng tạo, rồi từ từ mở rộng ra, nối liền những vùng đất đã khai phá đó lại với nhau thành một cánh đồng liền khánh trong Phố Biên."
53,00:11:32.560,00:11:38.200,"thế kỷ 18,khu vực khô ráo,cánh đồng,khai khẩn,đất hoang","Các nhà nghiên cứu đã chỉ ra rằng, buổi ban đầu, lưu dân người Việt lựa chọn những khu vực khô ráo, có bể nước ngọt để khai thác theo hình thức mốc lõm đầy sáng tạo, rồi từ từ mở rộng ra, nối liền những vùng đất đã khai phá đó lại với nhau thành một cánh đồng liền khánh trong Phố Biên."
54,00:11:38.200,00:11:43.920,"thế kỷ 18,khu vực khô ráo,cánh đồng,khai khẩn,đất hoang","Các nhà nghiên cứu đã chỉ ra rằng, buổi ban đầu, lưu dân người Việt lựa chọn những khu vực khô ráo, có bể nước ngọt để khai thác theo hình thức mốc lõm đầy sáng tạo, rồi từ từ mở rộng ra, nối liền những vùng đất đã khai phá đó lại với nhau thành một cánh đồng liền khánh trong Phố Biên."
55,00:11:43.920,00:11:49.800,"thế kỷ 18,khu vực khô ráo,cánh đồng,khai khẩn,đất hoang","Các nhà nghiên cứu đã chỉ ra rằng, buổi ban đầu, lưu dân người Việt lựa chọn những khu vực khô ráo, có bể nước ngọt để khai thác theo hình thức mốc lõm đầy sáng tạo, rồi từ từ mở rộng ra, nối liền những vùng đất đã khai phá đó lại với nhau thành một cánh đồng liền khánh trong Phố Biên."
56,00:11:49.800,00:11:56.040,"thế kỷ 18,khu vực khô ráo,cánh đồng,khai khẩn,đất hoang","Các nhà nghiên cứu đã chỉ ra rằng, buổi ban đầu, lưu dân người Việt lựa chọn những khu vực khô ráo, có bể nước ngọt để khai thác theo hình thức mốc lõm đầy sáng tạo, rồi từ từ mở rộng ra, nối liền những vùng đất đã khai phá đó lại với nhau thành một cánh đồng liền khánh trong Phố Biên."
57,00:11:56.040,00:12:09.600,"thế kỷ 18,khu vực khô ráo,cánh đồng,khai khẩn,đất hoang","Tạp lục Lê Quý Đôn thống kê tổng diện tích khai khẩn tính đến những năm 70 của thế kỷ 18 là 2241 mẫu và ngoài 30 2000 sở, một sở bằng 4 - 5 mẫu đất."
58,00:12:09.600,00:12:15.160,"thế kỷ 18,khu vực khô ráo,cánh đồng,khai khẩn,đất hoang","Dọc sông Tiền dùng Bến Tre, Long Hồ Mỹ Tho, Sóc Trăng, Rạch Giá, Cà Mau và Trạch Điền, tức dùng ruộng sâu ở các xứ bưng biền."
59,00:12:15.160,00:12:20.680,"thế kỷ 18,khu vực khô ráo,cánh đồng,khai khẩn,đất hoang","Dọc sông Tiền dùng Bến Tre, Long Hồ Mỹ Tho, Sóc Trăng, Rạch Giá, Cà Mau và Trạch Điền, tức dùng ruộng sâu ở các xứ bưng biền."
60,00:12:20.680,00:12:28.400,"thế kỷ 18,khu vực khô ráo,cánh đồng,khai khẩn,đất hoang","Dọc sông Tiền dùng Bến Tre, Long Hồ Mỹ Tho, Sóc Trăng, Rạch Giá, Cà Mau và Trạch Điền, tức dùng ruộng sâu ở các xứ bưng biền."
61,00:12:28.400,00:12:34.520,"thế kỷ 18,khu vực khô ráo,cánh đồng,khai khẩn,đất hoang","Dọc sông Tiền dùng Bến Tre, Long Hồ Mỹ Tho, Sóc Trăng, Rạch Giá, Cà Mau và Trạch Điền, tức dùng ruộng sâu ở các xứ bưng biền."
62,00:12:34.520,00:12:42.120,"thế kỷ 18,khu vực khô ráo,cánh đồng,khai khẩn,đất hoang","Dọc sông Tiền dùng Bến Tre, Long Hồ Mỹ Tho, Sóc Trăng, Rạch Giá, Cà Mau và Trạch Điền, tức dùng ruộng sâu ở các xứ bưng biền."
63,00:12:42.120,00:12:49.080,"thế kỷ 18,khu vực khô ráo,cánh đồng,khai khẩn,đất hoang","Dọc sông Tiền dùng Bến Tre, Long Hồ Mỹ Tho, Sóc Trăng, Rạch Giá, Cà Mau và Trạch Điền, tức dùng ruộng sâu ở các xứ bưng biền."
64,00:12:49.080,00:13:31.760,hình ảnh tư liệu Nọc cấy,"Dân gian còn truyền về kỹ thuật phát thế phát khiếp bằng phẳng của ông cai thoại đời vua Tự Đức chinh phục những vùng đồng trũng mênh mông ở các xứ Rạch Giá, Cà Mau."
65,00:13:31.760,00:13:37.880,hình ảnh tư liệu Phảng,"Dân gian còn truyền về kỹ thuật phát thế phát khiếp bằng phẳng của ông cai thoại đời vua Tự Đức chinh phục những vùng đồng trũng mênh mông ở các xứ Rạch Giá, Cà Mau."
66,00:13:37.880,00:13:45.720,hình ảnh tư liệu Phảng,Trên từ điển là Đại Nam Quốc Âm từ vị đó là bình tĩnh của nói mấy độ phản.
67,00:13:45.720,00:14:18.920,"phó giáo sư tiến sĩ Đặng Văn Thắng,giám đốc bảo tàng lịch sử văn hóa,trường đại học khoa học xã hội nhân văn TPHCM",Trên từ điển là Đại Nam Quốc Âm từ vị đó là bình tĩnh của nói mấy độ phản.
68,00:14:18.920,00:15:02.400,"nhà nghiên cứu Trương Ngọc Tường,chi hội khoa học lịch sử TPHCM","bên cạnh việc kế thừa truyền thống nông nghiệp lúa nước của tổ tiên, những người đi mở đất thuở nào còn biết tận dụng nguồn tài nguyên thiên nhiên sẵn có để phục vụ cho sinh kế thường ngày, kết quả, họ đã để lại cả một kho tàng kinh nghiệm phong phú trong cách ăn, cách ở, thuận với tự nhiên, làm nên bản sắc văn hóa đặc thù của vùng sông nước phương Nam."
69,00:15:02.400,00:15:09.600,"tài nguyên thiên nhiên,sông nước Cửu Long,Nam bộ,trái bần, vị đặc trưng,kho tàng kinh nghiệm,vị chua","bên cạnh việc kế thừa truyền thống nông nghiệp lúa nước của tổ tiên, những người đi mở đất thuở nào còn biết tận dụng nguồn tài nguyên thiên nhiên sẵn có để phục vụ cho sinh kế thường ngày, kết quả, họ đã để lại cả một kho tàng kinh nghiệm phong phú trong cách ăn, cách ở, thuận với tự nhiên, làm nên bản sắc văn hóa đặc thù của vùng sông nước phương Nam."
70,00:15:09.600,00:15:16.400,"tài nguyên thiên nhiên,sông nước Cửu Long,Nam bộ,trái bần, vị đặc trưng,kho tàng kinh nghiệm,vị chua","bên cạnh việc kế thừa truyền thống nông nghiệp lúa nước của tổ tiên, những người đi mở đất thuở nào còn biết tận dụng nguồn tài nguyên thiên nhiên sẵn có để phục vụ cho sinh kế thường ngày, kết quả, họ đã để lại cả một kho tàng kinh nghiệm phong phú trong cách ăn, cách ở, thuận với tự nhiên, làm nên bản sắc văn hóa đặc thù của vùng sông nước phương Nam."
71,00:15:16.400,00:15:23.600,"tài nguyên thiên nhiên,sông nước Cửu Long,Nam bộ,trái bần, vị đặc trưng,kho tàng kinh nghiệm,vị chua","bên cạnh việc kế thừa truyền thống nông nghiệp lúa nước của tổ tiên, những người đi mở đất thuở nào còn biết tận dụng nguồn tài nguyên thiên nhiên sẵn có để phục vụ cho sinh kế thường ngày, kết quả, họ đã để lại cả một kho tàng kinh nghiệm phong phú trong cách ăn, cách ở, thuận với tự nhiên, làm nên bản sắc văn hóa đặc thù của vùng sông nước phương Nam."
